Lexeme	WC	Flexion
a'a	Interj	(no generation)
a'a¦rpoq	V	–nngilaq
a-jusa¦q	N	–p, –t
aa	Interj	(no generation)
aa-ila	Interj	(no generation)
aaffaffaarsu¦k	N	–up, –it
aaffaffa¦k	N	–ap, –at
aaffannia¦q	N	–p, –t
aaffanniarne¦q	N	–rup, –rit
aaffannia¦rpoq	V	–nngilaq
aaffanniu¦siorpoq	V	{–siunngilaq, –tiliunngilaq}
aaffanniut	N	–ip, –it
aaffanniutaaru¦ppoq	V	–tinngilaq
aaffanniutaa¦voq	V	–nngilaq
aaffa¦ppoq	V	–nngilaq
aaffa¦q	N	–ap, –at
aaffarmii¦ppoq	V	–nngilaq
aaffatta¦q	N	–p, –t
aaffattassat	N, pl.	-
aagallassavaa	V	(no generation)
aa¦gasaarpoq	V	{–gasaanngilaq, –rasaanngilaq}
aagasa¦ppoq	V	–nngilaq
aagasatt¦oq	N	–up, –ut
aagasattuinnaa¦voq	V	–nngilaq
aagiaannaa¦voq	V	–nngilaq
aagi¦ak	N	{–aap, –ssap}, {–aat, –ssat}
aagialinne¦q	N	–rup, –rit
aagiali¦ppoq	V	–nngilaq
aagialitt¦oq	N	–up, –ut
aagiannguussimas¦oq	N	–up, –ut
aagia¦ppoq	V	–nngilaq
aagia¦q	N	–p, –t
aagia¦ssuaq	N	{–rsuup, –ssuup}, {–rsuit, –ssuit}
aagilluart¦oq	N	–up, –ut
aaginnaas¦oq	N	–up, –ut
aaginnaa¦voq	V	–nngilaq
aaginnarne¦q	N	–rup, –rit
aaginna¦rpoq	V	–nngilaq
aaginnarsu¦usoq	N	{–aasup, –usup}, {–aasut, –usut}
aaginnarsu¦uvoq	V	{–aanngilaq, –unngilaq}
aaginnavissu¦usoq	N	{–aasup, –usup}, {–aasut, –usut}
aaginnavi¦ssuusoq	N	{–ssuaasup, –ssuusup, –ttuusup}, {–ssuaasut, –ssuusut, –ttuusut}
aag¦ooq	N	–uup, –uut
aagu¦ppaa	V	–tinngilaa
aagu¦ppoq	V	–tinngilaq
