Lexeme	WC	Flexion
iaaminarpoq	V	(no generation)
iaarnarpoq	V	(no generation)
iangasoorpoq	V	(no generation)
iangavoq	V	(no generation)
iarraa	Interj	(no generation)
iasilaarpoq	V	(no generation)
iasilaraluttuaq	Interj	(no generation)
iasilat	Interj	(no generation)
iasoorpoq	V	(no generation)
iatappoq	V	(no generation)
ICC	Prop	–ip
Idealisten	Prop	–ip
iffaats¦oq	N	–up, –ut
iffarippoq	V	(no generation)
iffarissaarpoq	V	(no generation)
iffaserpaa	V	(no generation)
iffaserpoq	V	(no generation)
iffialia¦q	N	–p, –t
iffialiorfi¦k	N	–up, –it
iffia¦q	N	–p, –t
iffiarpoq	V	(no generation)
iffiarsiniarajuttarpoq	V	(no generation)
iffiartorpoq	V	(no generation)
iffiassat	N, pl.	-
iffiassiassat	N, pl.	-
iffi¦gaq	N	–kkap, –kkat
iffiorfi¦k	N	–up, –it
iffiorne¦q	N	–rup, –rit
iffiorpoq	V	(no generation)
iffiort¦oq	N	–up, –ut
iffippoq	V	(no generation)
iffiu¦gaq	N	–kkap, –kkat
iffiugassangas¦oq	N	–up, –ut
iffiugassa¦q	N	–p, –t
iffiukatannerarpoq	V	(no generation)
iga	N	–p, –t
igaa	V	(no generation)
igaa¦q	N	–p, –t
igaa¦raq	N	–qqap, –qqat
igaarpoq	V	(no generation)
igaarsunni¦ppoq	V	–nngilaq
igaartorpoq	V	(no generation)
igaasa¦q	N	–p, –t
igaasariarpoq	V	(no generation)
igaasarpoq	V	(no generation)
igaassa¦q	N	–p, –t
igaffi¦k	N	–up, –it
igaja¦k	N	–ap, –at
igajumalerpoq	V	(no generation)
igalaajuvoq	V	(no generation)
igalaalerpaa	V	(no generation)
igalaalersortariaqarpaa	V	(no generation)
igalaalersussavaa	V	(no generation)
igalaaliorpoq	V	(no generation)
igalaaliort¦oq	N	–up, –ut
igalaam¦ineq	N	–ernup, –ernit
igalaa¦q	N	–p, –t
igalaartaasa¦q	N	–p, –t
igalaarta¦q	N	–p, –t
igalaasa¦q	N	–p, –t
igalaasarpoq	V	(no generation)
igalaasarta¦q	N	–p, –t
igalaasart¦ooq	N	–uup, –uut
igalaassa¦q	N	–p, –t
igalaassia¦q	N	–p, –t
igalasserfi¦k	N	–up, –it
igala¦sserfik	N	{–alerfiup, –sserfiup}, {–alerfiit, –sserfiit}
igalasserpaa	V	(no generation)
igalassersorpaa	V	(no generation)
igalassiorpoq	V	(no generation)
igalassiuppaa	V	(no generation)
igal¦eq	N	–ip, –it
Igaliku	Prop	–p
igalil¦ik	N	{–iup, –lip, –lup}, –lit
igane¦q	N	–rup, –rit
igannguanngilaq	V	(no generation)
igannguarpoq	V	(no generation)
iga¦q	N	–p, –t
igas¦oq	N	–up, –ut
igavaa	V	(no generation)
igavoq	V	(no generation)
igeeqqaa¦vik	N	{–ffiup, –viup}, {–ffiit, –viit}
igeriussi¦vik	N	{–ffiup, –viup}, {–ffiit, –viit}
igerpallappoq	V	(no generation)
igg	Interj	(no generation)
igga¦ppaa	V	–sinngilaa
iggarippoq	V	(no generation)
iggarissaarpoq	V	(no generation)
iggarissu¦seq	N	–tsip, –tsit
iggaserpoq	V	(no generation)
iggassivoq	V	(no generation)
iggavigaa	V	(no generation)
iggavi¦k	N	–up, –it
iggeeruppoq	V	(no generation)
iggerisuuvoq	V	(no generation)
iggerivoq	V	(no generation)
iggersaarpoq	V	(no generation)
iggiaarpaa	V	(no generation)
iggi¦aq	N	–ssap, –ssat
iggiaqanngilaq	V	(no generation)
iggiarippoq	V	(no generation)
iggiarissarpoq	V	(no generation)
iggiarlunne¦q	N	–rup, –rit
iggiarluppoq	V	(no generation)
iggiingaannarpoq	V	(no generation)
iggiingavoq	V	(no generation)
iggiinngarpoq	V	(no generation)
iggippaa	V	(no generation)
iggisaavoq	V	(no generation)
iggiserpaa	V	(no generation)
iggisissa¦q	N	–p, –t
iggissa¦q	N	–p, –t
iggi¦t	N	–sip, –sit
iggoraarsunnguaq	Interj	(no generation)
iggu	Interj	(no generation)
igguagassa¦q	N	–p, –t
iggulluarpoq	V	(no generation)
igguppaa	V	(no generation)
iggut	N	–ip, –it
iggutee¦raq	N	–qqap, –qqat
igiinnarsimavoq	V	(no generation)
igiinnartari¦aq	N	{–ssap, –ap}, {–ssat, –at}
igiinnartari¦aq	N	–ssap, –ssat
igikkiartorsinnaassavaa	V	(no generation)
igikkumanngilaa	V	(no generation)
igil¦eq	N	–ip, –it
igimaa¦q	N	–p, –t
igim¦aq	N	{–ap, –map}, {–at, –mat}
igimarpaa	V	(no generation)
igimartaarpoq	V	(no generation)
igine¦q	N	–rup, –rit
iginne¦q	N	–rup, –rit
iginnerusisarpoq	V	(no generation)
iginnerutaaruppoq	V	(no generation)
Iginniarfi¦k	N	–up, –it
Iginniarfi¦k	Prop	–up, –it
iginniarpaa	V	(no generation)
iginniarpoq	V	(no generation)
igippaa	V	(no generation)
igi¦ppoq	V	–nngilaq
igisarpoq	V	(no generation)
igisoorpoq	V	(no generation)
igissimavaa	V	(no generation)
igitaasivissu¦aq	N	–up, –it
igitaavoq	V	(no generation)
igita¦q	N	–p, –t
igitassaannaavoq	V	(no generation)
igitassaanngilaq	V	(no generation)
igitassaavoq	V	(no generation)
igitassa¦q	N	–p, –t
igitat	N, pl.	-
igitippaa	V	(no generation)
igitserpaa	V	(no generation)
igitsia¦q	N	–p, –t
igitsiivaa	V	(no generation)
igitsiivoq	V	(no generation)
igitsine¦q	N	–rup, –rit
igitsisaannarpoq	V	(no generation)
igitsissu¦aq	N	–up, –it
igitsi¦t	N	–sip, –sit
igitsivigaa	V	(no generation)
igitsivoq	V	(no generation)
igiulavoq	V	(no generation)
igivoq	V	(no generation)
igul¦eq	N	–ip, –it
igunalaarpoq	V	(no generation)
igun¦aq	N	–nap, –nat
igunarnippoq	V	(no generation)
igunarpoq	V	(no generation)
igunarserpaa	V	(no generation)
igunarsiivoq	V	(no generation)
igutsaa¦raq	N	–qqap, –qqat
igutsa¦k	N	–ap, –at
igutsassu¦aq	N	–up, –it
igutsine¦q	N	–rup, –rit
igutsis¦oq	N	–up, –ut
igutsivoq	V	(no generation)
iguut	N	–ip, –it
iguutaaruppoq	V	(no generation)
iguutaarutivippoq	V	(no generation)
iguutil¦ik	N	{–iup, –lip, –lup}, –lit
ii	Interj	(no generation)
ii¦gaq	N	–kkap, –kkat
iigarfi¦k	N	–up, –it
iigarfil¦ik	N	{–iup, –lip, –lup}, –lit
iigarmiu	N	–p, –t
iigarne¦q	N	–rup, –rit
iigarpoq	V	(no generation)
iigartarfi¦k	N	–up, –it
iigartart¦oq	N	–up, –ut
iigarterpoq	V	(no generation)
iigartippaa	V	(no generation)
iigassialersorpaa	V	(no generation)
iigassia¦q	N	–p, –t
iiguppaa	V	(no generation)
iikajataarpoq	V	(no generation)
iikajavoq	V	(no generation)
iikkanii¦ppoq	V	–nngilaq
iikkerpaa	V	(no generation)
iikkersorpaa	V	(no generation)
iikkersuivoq	V	(no generation)
iikker¦suutit	N, pl.	{–suutit, –tuutit}
iilaanngits¦oq	N	–up, –ut
iilaavoq	V	(no generation)
iila¦k	N	–ap, –at
iilerpaa	V	(no generation)
iillarippoq	V	(no generation)
