Lexeme	WC	Flexion
laaja	N	–p, –t
laajaa¦voq	V	–nngilaq
laajarsi¦orpoq	V	–unngilaq
laajarsi¦voq	V	–nngilaq
lakk¦erpaa	V	–inngilaa
lakki	N	(no generation)
lakskuut	N	(no generation)
lal'laa¦q	N	–p, –t
landsretti	N	(no generation)
lastbiili	N	–p, –t
latiineri	N	(no generation)
Latin¦amerikameersoq	N	{–-Amerikameersup, –-Amerikameertup, –-Amerikaminngaanneersup, –-Amerikaminngaanneertup, –-Amerikaminngaanninngaanneersup, –-Amerikaminngaanninngaanneertup, –amerikameersup, –amerikameertup, –amerikaminngaanneersup, –amerikaminngaanneertup, –amerikaminngaanninngaanneersup, –amerikaminngaanninngaanneertup}, {–-Amerikameersut, –-Amerikameertut, –-Amerikaminngaanneersut, –-Amerikaminngaanneertut, –-Amerikaminngaanninngaanneersut, –-Amerikaminngaanninngaanneertut, –amerikameersut, –amerikameertut, –amerikaminngaanneersut, –amerikaminngaanneertut, –amerikaminngaanninngaanneersut, –amerikaminngaanninngaanneertut}
Latinamerikamioq	N	(no generation)
Latin¦amerikamiu	N	{–-Amerikamiup, –-Amerikarmiup, –amerikamiup, –amerikarmiup}, {–-Amerikamiut, –-Amerikarmiut, –amerikamiut, –amerikarmiut}
Letlandim¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut}
Letlandimioq	N	(no generation)
Letland¦imiu	N	{–ermiup, –imiup}, {–ermiut, –imiut}
Libanonim¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut}
Libanonimioq	N	(no generation)
Libanon¦imiu	N	{–ermiup, –imiup}, {–ermiut, –imiut}
liimm¦erpaa	V	–inngilaa
liimmi	N	(no generation)
liimmiliorfi¦k	N	–up, –it
liimmiliorne¦q	N	–rup, –rit
liiv¦eq	N	–ip, –it
Lisit¦oorpoq	V	–uunngilaq
Litauenim¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut}
Litauenimioq	N	(no generation)
Litauen¦imiu	N	{–ermiup, –imiup}, {–ermiut, –imiut}
Lovtidende	Prop	–p
lutherikkut	N, pl.	-
lutherikkuus¦oq	N	–up, –ut
lutherikkuussu¦seq	N	–tsip, –tsit
Luxembourgim¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut}
Luxembourgimioq	N	(no generation)
Luxembourg¦imiu	N	{–ermiup, –imiup}, {–ermiut, –imiut}
lærlingehjemmi	N	(no generation)
løv¦eq	N	–ip, –it
løviusa¦q	N	–p, –t
