Lexeme	WC	Flexion
A-vitamini	N	–p, –t
abbed	N	–ip, –it
aborr¦e	N	–ip, {–er, –it}
abrikos	N	–ip, –it
abrikosi	N	–p, –t
AC-fuldmægtig	N	–ip, –it
accelerator	N	–ip, –it
adjunkti	N	–p, –t
administrationi	N	–p, –t
admiral	N	–ip, –it
admirali	N	–p, –t
adrenalini	N	–p, –t
adress¦e	N	–ip, {–er, –it}
adresseqanngits¦oq	N	–up, –ut
adress¦i	N	–ip, {–er, –it}
adventi	N	–p, –t
adventisiort¦oq	N	–up, –ut
adventisiortuune¦q	N	–rup, –rit
adventisti	N	–p, –t
advokati	N	–p, –t
aerobicerta¦rpoq	V	–nngilaq
afghaneri	N	–p, –t
aftenskol¦e	N	–ip, {–er, –it}
aftenskol¦erpoq	V	–inngilaq
aftenskol¦i	N	–ip, {–er, –it}
agati	N	–p, –t
agurki	N	–p, –t
aids	N	–ip, –it
airbus	N	–ip, –it
akademiingeniør	N	–ip, –it
akelej¦e	N	–ip, {–er, –it}
akkumulatori	N	–p, –t
akseli	N	–p, –t
aktantmodeli	N	–p, –t
aktia	N	–p, –t
aktiaagallart¦oq	N	–up, –ut
aktiaatil¦ik	N	{–iup, –lip, –lup}, –lit
aktiasine¦q	N	–rup, –rit
aktieselskabi	N	–p, –t
akut	N	–ip, –it
aleers¦erpoq	V	–inngilaq
aleni	N	–p, –t
alersaannaa¦voq	V	–nngilaq
alfabet	N	–ip, –it
algebra	N	–p, –t
alig¦aa	V	–inngilaa
alinnassu¦seq	N	–tsip, –tsit
alissa¦q	N	–p, –t
aliss¦iorpoq	V	{–aliunngilaq, –iunngilaq}
alittoorne¦q	N	–rup, –rit
allanit	N	–ip, –it
allerne¦q	N	–rup, –rit
allerpalaa¦q	N	–p, –t
all¦erpoq	V	–inngilaq
alliallanne¦q	N	–rup, –rit
allianii¦ppoq	V	–nngilaq
alligatori	N	–p, –t
allilerine¦q	N	–rup, –rit
alliliine¦q	N	–rup, –rit
allinngorti¦ppaa	V	–nngilaa
alliut	N	–ip, –it
alliuti¦ppaa	V	–nngilaa
alliu¦voq	V	–nngilaq
altani	N	–p, –t
amatøri	N	–p, –t
ambassad¦e	N	–ip, {–er, –it}
ambassadeqarfi¦k	N	–up, –it
ambassad¦i	N	–ip, {–er, –it}
ambassadøri	N	–p, –t
ambulanc¦e	N	–ip, {–er, –it}
amen	N	–ip, –it
amper¦e	N	–ip, {–er, –it}
amteqarfi¦k	N	–up, –it
ananas¦si	N	{–-ip, –sip}, {–-it, –sit}
anatomi	N	{–ip, –p}, {–it, –t}
anatomi	N	–p, –t
aneeru¦ppaa	V	–tinngilaa
aneqqu¦aa	V	–nngilaa
aneqqusaajunnaarallarfi¦k	N	–up, –it
aneqqusaajunnaarallarne¦q	N	–rup, –rit
aneqqusaajunnaarallart¦oq	N	–up, –ut
anerlaaju¦voq	V	–nngilaq
anerlaa¦q	N	–p, –t
anerneeru¦ppoq	V	–tinngilaq
anerne¦q	N	–rup, –rit
anerneqarfiit	N, pl.	-
