Lexeme	WC	Flexion
raaja	N	–p, –t
raajaleriffi¦k	N	–up, –it
raajaqarfi¦k	N	–up, –it
raajarnia¦q	N	–p, –t
raajarniarne¦q	N	–rup, –rit
raajarniart¦oq	N	–up, –ut
raajarniut	N	–ip, –it
raajartassat	N, pl.	-
ra¦atiuaviisi	N	{–atiuaviisip, –dioaviisip, –dioavisip}, {–atiuaviisit, –dioaviisit, –dioavisit}
rabarberi	N	–p, –t
radari	N	–p, –t
radi¦o	N	–up, –ut
radioaktivius¦oq	N	–up, –ut
ra¦dioaviisi	N	{–atiuaviisip, –dioaviisip, –dioavisip}, {–atiuaviisit, –dioaviisit, –dioavisit}
ra¦dioavis	N	{–atiuaviisip, –dioaviisip, –dioavisip}, {–atiuaviisit, –dioaviisit, –dioavisit}
ra¦dioavisi	N	{–atiuaviisip, –dioaviisip, –dioavisip}, {–atiuaviisit, –dioaviisit, –dioavisit}
radiohusi	N	–p, –t
radioqarfi¦k	N	–up, –it
radioteateri	N	–p, –t
radiuernia¦q	N	–p, –t
radiusi	N	–p, –t
realisti	N	–p, –t
regulatori	N	–p, –t
reklam¦e	N	–ip, {–er, –it}
rektangeli	N	–p, –t
rektori	N	–p, –t
religioni	N	–p, –t
revisori	N	–p, –t
rigsombudeqarfi¦k	N	–up, –it
ritualit	N, pl.	-
rock	N	–ip, –it
rocki	N	–p, –t
Romam¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup, –inngaanninngaanneersup, –inngaanninngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut, –inngaanninngaanneersut, –inngaanninngaanneertut}
Roma¦miu	N	{–miup, –rmiup}, {–miut, –rmiut}
rommi	N	–p, –t
rubineqarfi¦k	N	–up, –it
rubinisiorfi¦k	N	–up, –it
ruderi	N	–p, –t
rundstykk¦e	N	–ip, {–er, –it}
russ¦eq	N	–ip, –it
ruua	N	–p, –t
ruujori	N	–p, –t
ruujorileris¦oq	N	–up, –ut
ruusa	N	–p, –t
ruusaasaliorpoq	V	(no generation)
ruusalersorpaa	V	(no generation)
ruusarne¦q	N	–rup, –rit
ruusarpoq	V	(no generation)
rådhusi	N	–p, –t
rækkehusi	N	–p, –t
