Lexeme	WC	Flexion
uaa	Interj	(no generation)
uaagaju¦ppoq	V	–nngilaq
uaajeerne¦q	N	–rup, –rit
uaajeert¦oq	N	–up, –ut
uaal¦oorpoq	V	–uunngilaq
uaaloortaanna¦rpoq	V	–nngilaq
uaalu	Interj	(no generation)
uaalu¦ppoq	V	–nngilaq
uaane¦q	N	–rup, –rit
uaaqisaa¦rpoq	V	–nngilaq
uaa¦rpoq	V	–nngilaq
uaartorpalaa¦q	N	–p, –t
uaartorpaluk	N	–up, –it
uaartorpalu¦k	N	–up, –it
uaart¦orpoq	V	–unngilaq
uaarusaa¦rpoq	V	–nngilaq
uaas¦oq	N	–up, –ut
uaati¦ppaa	V	–nngilaa
uaa¦voq	V	–nngilaq
uaggi¦ppaa	V	–nngilaa
ua¦gutsinniippoq	V	{–gutsinniinngilaq, –tsinniinngilaq}
ual¦eq	N	–ip, –it
ualersu¦aq	N	–up, –it
ualiarsaa¦q	N	–p, –t
ualiart¦oq	N	–up, –ut
ualikkut	N, pl.	-
ualilluinnart¦oq	N	–up, –ut
Ualine¦q	N	–rup, –rit
ualis¦oq	N	–up, –ut
ualissu¦ppaa	V	–tinngilaa
ualivallaa¦rpoq	V	–nngilaq
uali¦voq	V	–nngilaq
ualli¦ppaa	V	–nngilaa
uallu¦ppaa	V	–tinngilaa
uaneralaanngu¦aq	N	–up, –it
uaneralanngu¦aq	N	–up, –it
uangaanna¦q	N	–ap, –at
uangaanngits¦oq	N	–up, –ut
uangaanngits¦oq	N	–ut
uangaart¦orpoq	V	–unngilaq
uangapalaa¦q	N	–p, –t
uanii¦ppoq	V	–nngilaq
uaniissinnaanngilaq	V	(no generation)
uaniiti¦ppaa	V	–nngilaa
uanii¦tippaa	V	{–sinngilaa, –tinngilaa, –tsinngilaa}
uanits¦oq	N	–up, –ut
uanitsorsunni	N	–p, –t
uanitsua¦raq	N	–qqap, –qqat
uanneqa¦rpoq	V	–nngilaq
uannii¦ppoq	V	–nngilaq
uannii¦tippaa	V	{–sinngilaa, –tinngilaa, –tsinngilaa}
uanniittuarpoq	V	(no generation)
ua¦ppaa	V	–nngilaa
uarta¦q	N	–p, –t
uatseerajuppoq	V	(no generation)
uats¦eerpaa	V	–iinngilaa
uats¦eerpoq	V	–iinngilaq
uatseertaanna¦rpoq	V	–nngilaq
uatsi	Interj	(no generation)
uatsia¦q	N	–ap, –at
uatsilaaq	Interj	(no generation)
uatsinniikkajuppoq	V	(no generation)
uatsinniikkumatoqaaq	V	(no generation)
ua¦tsinniippoq	V	{–gutsinniinngilaq, –tsinniinngilaq}
ua¦tsinnukarpoq	V	{–gutsinnukanngilaq, –tsinnukanngilaq}
ua¦tsinnukartippaa	V	{–gutsinnukartinngilaa, –tsinnukartinngilaa}
uatsi¦voq	V	–nngilaq
uattut	N, pl.	-
uavaa¦rpoq	V	–nngilaq
uavaartorsu¦uvoq	V	{–aanngilaq, –unngilaq}
uavaarutig¦aa	V	–inngilaa
uavi¦ppoq	V	–nngilaq
uavisa¦rpoq	V	–nngilaq
ueqanngilaq	V	(no generation)
ueqarne¦q	N	–rup, –rit
ueqa¦rpoq	V	–nngilaq
ueqattaa¦rpoq	V	–nngilaq
ueqqivig¦aa	V	–inngilaa
ueqqivigivi¦ppaa	V	–nngilaa
ueqqu¦ppaa	V	–tinngilaa
ueqqussa¦q	N	–p, –t
ueqqussi¦voq	V	–nngilaq
uer¦aaq	V	–inngilaq
ueriffig¦aa	V	–inngilaa
uerigaluanngilaq	V	(no generation)
uerinartut	N, pl.	-
uerine¦q	N	–rup, –rit
uerisaa¦voq	V	–nngilaq
uerisimane¦q	N	–rup, –rit
ueris¦imaneq	N	{–imanerup, –simanerup}, {–imanerit, –simanerit}
uerisitaa¦voq	V	–nngilaq
uerisita¦q	N	–p, –t
uerisoorne¦q	N	–rup, –rit
ueris¦oorpoq	V	–uunngilaq
uerissu¦seq	N	–tsip, –tsit
uerissutig¦aa	V	–inngilaa
ueriti¦ppaa	V	–nngilaa
ueritsaa¦ppaa	V	–tinngilaa
ueritsaasi¦orpaa	V	–unngilaa
ueritsaffig¦aa	V	–inngilaa
ueritsanne¦q	N	–rup, –rit
ueritsa¦ppoq	V	–nngilaq
uerivi¦ppoq	V	–nngilaq
ueri¦voq	V	–nngilaq
uernaasa¦rpoq	V	–nngilaq
uernajaa¦rpoq	V	–nngilaq
uernakujuinna¦rpoq	V	–nngilaq
uernakujulaa¦rpoq	V	–nngilaq
uernakuju¦ppoq	V	–nngilaq
uernalernart¦oq	N	–up, –ut
uernarna¦rpoq	V	–nngilaq
uernarne¦q	N	–rup, –rit
uernarpallaaginna¦rpoq	V	–nngilaq
